Allotted Course,Program,count
BO,B.Com Model I,6
BO,B.Sc Zoology,6
BO,B.A Hindi,2
CH,B.Sc Botany,14
CH,B.Sc Zoology,12
CH,B.A English,3
CO,B.A Economics,18
CO,B.Sc Physics,10
CO,B.Sc Mathematics,8
EC,B.A History,15
EC,B.Com Model I,10
EC,B.A Sociology,5
EN,B.A Hindi,8
EN,B.Com Model I,7
EN,B.A History,5
HI,B.A Sociology,12
HI,B.A Economics,8
HI,B.Sc Chemistry,5
HN,B.A History,5
HN,B.A English,2
HN,B.Com Model I,2
MA,B.Sc Chemistry,13
MA,B.Sc Statistics,13
MA,B.Sc Physics,2
PE,B.A Sociology,8
PE,B.A English,6
PE,B.Sc Statistics,6
PH,B.Sc Zoology,9
PH,B.A History,2
PH,B.Sc Botany,2
SO,B.A English,13
SO,B.A History,8
SO,B.Com Model I,7
ST,B.Com Model I,11
ST,B.Sc Mathematics,10
ST,B.Sc Physics,5
ZO,B.Sc Botany,10
ZO,B.A English,7
ZO,B.A Hindi,4
