Program,FC,count
B.A Economics,ST,14
B.A Economics,HI,10
B.A Economics,CO,6
B.A English,SO,13
B.A English,PE,9
B.A English,ZO,7
B.A Hindi,SO,5
B.A Hindi,EC,4
B.A Hindi,EN,4
B.A History,EC,16
B.A History,SO,11
B.A History,EN,4
B.A Sociology,HI,12
B.A Sociology,PE,10
B.A Sociology,EC,7
B.Com Model I,ST,20
B.Com Model I,EC,12
B.Com Model I,SO,8
B.Sc Botany,CH,18
B.Sc Botany,ZO,6
B.Sc Botany,PH,2
B.Sc Chemistry,MA,16
B.Sc Chemistry,HI,5
B.Sc Chemistry,HN,1
B.Sc Mathematics,ST,13
B.Sc Mathematics,CO,6
B.Sc Mathematics,BO,1
B.Sc Physics,CO,9
B.Sc Physics,ST,5
B.Sc Physics,CH,4
B.Sc Statistics,MA,19
B.Sc Statistics,PE,6
B.Sc Statistics,CO,4
B.Sc Zoology,CH,20
B.Sc Zoology,BO,4
B.Sc Zoology,PH,3
